payor,recipient,trans
Australia,Australia,0
Australia,China,0
Australia,United_States,0
Australia,Canada,0
Australia,Germany,0
Australia,Hong_Kong,0
Australia,India,0
Australia,Japan,0
Australia,Korea,0
Australia,Malaysia,0
Australia,Mexico,0
Australia,Singapore,0
Australia,Thailand,0
Australia,Taiwan,0
Australia,United_Kingdom,0
Australia,United_States,673027
China,Australia,0
China,China,1927024
China,United_States,0
China,Canada,0
China,Germany,0
China,Hong_Kong,0
China,India,0
China,Japan,0
China,Korea,0
China,Malaysia,0
China,Mexico,0
China,Singapore,0
China,Thailand,0
China,Taiwan,0
China,United_Kingdom,0
China,United_States,0
United_States,Australia,0
United_States,China,0
United_States,United_States,0
United_States,Canada,0
United_States,Germany,0
United_States,Hong_Kong,0
United_States,India,0
United_States,Japan,0
United_States,Korea,0
United_States,Malaysia,0
United_States,Mexico,0
United_States,Singapore,0
United_States,Thailand,0
United_States,Taiwan,0
United_States,United_Kingdom,0
United_States,United_States,68724
Canada,Australia,0
Canada,China,0
Canada,United_States,0
Canada,Canada,0
Canada,Germany,0
Canada,Hong_Kong,0
Canada,India,0
Canada,Japan,0
Canada,Korea,0
Canada,Malaysia,0
Canada,Mexico,0
Canada,Singapore,0
Canada,Thailand,0
Canada,Taiwan,0
Canada,United_Kingdom,0
Canada,United_States,1487229
Germany,Australia,0
Germany,China,0
Germany,United_States,0
Germany,Canada,0
Germany,Germany,0
Germany,Hong_Kong,0
Germany,India,0
Germany,Japan,0
Germany,Korea,0
Germany,Malaysia,0
Germany,Mexico,0
Germany,Singapore,0
Germany,Thailand,0
Germany,Taiwan,0
Germany,United_Kingdom,0
Germany,United_States,587298
Hong_Kong,Australia,0
Hong_Kong,China,0
Hong_Kong,United_States,0
Hong_Kong,Canada,0
Hong_Kong,Germany,0
Hong_Kong,Hong_Kong,0
Hong_Kong,India,0
Hong_Kong,Japan,0
Hong_Kong,Korea,0
Hong_Kong,Malaysia,0
Hong_Kong,Mexico,0
Hong_Kong,Singapore,439750
Hong_Kong,Thailand,0
Hong_Kong,Taiwan,0
Hong_Kong,United_Kingdom,0
Hong_Kong,United_States,0
India,Australia,0
India,China,0
India,United_States,0
India,Canada,0
India,Germany,0
India,Hong_Kong,0
India,India,0
India,Japan,0
India,Korea,0
India,Malaysia,0
India,Mexico,0
India,Singapore,0
India,Thailand,0
India,Taiwan,0
India,United_Kingdom,0
India,United_States,0
Japan,Australia,0
Japan,China,0
Japan,United_States,0
Japan,Canada,0
Japan,Germany,0
Japan,Hong_Kong,0
Japan,India,0
Japan,Japan,0
Japan,Korea,0
Japan,Malaysia,0
Japan,Mexico,0
Japan,Singapore,684223
Japan,Thailand,0
Japan,Taiwan,0
Japan,United_Kingdom,0
Japan,United_States,0
Korea,Australia,0
Korea,China,0
Korea,United_States,0
Korea,Canada,0
Korea,Germany,0
Korea,Hong_Kong,0
Korea,India,0
Korea,Japan,0
Korea,Korea,0
Korea,Malaysia,0
Korea,Mexico,0
Korea,Singapore,86665
Korea,Thailand,0
Korea,Taiwan,0
Korea,United_Kingdom,0
Korea,United_States,0
Malaysia,Australia,0
Malaysia,China,0
Malaysia,United_States,0
Malaysia,Canada,0
Malaysia,Germany,0
Malaysia,Hong_Kong,0
Malaysia,India,0
Malaysia,Japan,0
Malaysia,Korea,0
Malaysia,Malaysia,0
Malaysia,Mexico,0
Malaysia,Singapore,154367
Malaysia,Thailand,0
Malaysia,Taiwan,0
Malaysia,United_Kingdom,0
Malaysia,United_States,0
Mexico,Australia,0
Mexico,China,0
Mexico,United_States,0
Mexico,Canada,0
Mexico,Germany,0
Mexico,Hong_Kong,0
Mexico,India,0
Mexico,Japan,0
Mexico,Korea,0
Mexico,Malaysia,0
Mexico,Mexico,0
Mexico,Singapore,0
Mexico,Thailand,0
Mexico,Taiwan,0
Mexico,United_Kingdom,0
Mexico,United_States,118809
Singapore,Australia,0
Singapore,China,0
Singapore,United_States,0
Singapore,Canada,0
Singapore,Germany,0
Singapore,Hong_Kong,0
Singapore,India,350000
Singapore,Japan,0
Singapore,Korea,0
Singapore,Malaysia,0
Singapore,Mexico,0
Singapore,Singapore,1912236
Singapore,Thailand,0
Singapore,Taiwan,0
Singapore,United_Kingdom,0
Singapore,United_States,0
Thailand,Australia,0
Thailand,China,0
Thailand,United_States,0
Thailand,Canada,0
Thailand,Germany,0
Thailand,Hong_Kong,0
Thailand,India,0
Thailand,Japan,0
Thailand,Korea,0
Thailand,Malaysia,0
Thailand,Mexico,0
Thailand,Singapore,218923
Thailand,Thailand,0
Thailand,Taiwan,0
Thailand,United_Kingdom,0
Thailand,United_States,0
Taiwan,Australia,0
Taiwan,China,0
Taiwan,United_States,0
Taiwan,Canada,0
Taiwan,Germany,0
Taiwan,Hong_Kong,0
Taiwan,India,0
Taiwan,Japan,0
Taiwan,Korea,0
Taiwan,Malaysia,0
Taiwan,Mexico,0
Taiwan,Singapore,167457
Taiwan,Thailand,0
Taiwan,Taiwan,0
Taiwan,United_Kingdom,0
Taiwan,United_States,0
United_Kingdom,Australia,0
United_Kingdom,China,0
United_Kingdom,United_States,0
United_Kingdom,Canada,0
